Артикул;Наименование;Цена;Наличие;Ссылка на товар
код: 15827188;Аккумуляторный бесщеточный перфоратор AEG BBH18BL LI-502C 4935464753;"
    34 056 р.

    ";"
    В наличии
    > 100
    шт.
  ";Нет информации
код: 15505208;Перфоратор Ryobi ONE+ R18SDS-0 5133002305;"
    10 164 р.

    ";"
    В наличии
    > 100
    шт.
  ";Нет информации
код: 15929436;Компактный перфоратор AEG BBH18C-0 4935464984;"
    13 944 р.

    ";"
    В наличии
    > 100
    шт.
  ";Нет информации
код: 25219293;Аккумуляторный бесщеточный перфоратор AEG BBH18BL2-0 18В 4935480697;"
    25 533 р.

    ";"
    В наличии
    > 100
    шт.
  ";Нет информации
код: 24424623;Бесщеточный перфоратор AEG BBH18BL2-502C SDS+, 18В 4935492343;"
    46 413 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 24456711;Аккумуляторный бесщеточный перфоратор WORX Professional WU388 20В, 24мм, 2.2 Дж, 4Ач х2, ЗУ 2А WU388;"
    29 990 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 15703846;Аккумуляторный перфоратор AEG BBH12-0 4935446699;"
    10 736 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 16523104;Аккумуляторный перфоратор Zitrek Destroyer Pro 20В 063-4062;"
    6 081 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 24456705;Аккумуляторный перфоратор WORX Professional 20В, 20мм, 1.7Дж, 4Ач х1, ЗУ WU380S;"
    17 990 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 16523004;Аккумуляторный перфоратор Zitrek Destroyer Pro 20В 063-4063;"
    5 529 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 20210806;Бесщеточный перфоратор ЗУБР Профессионал 20В PB-260;"
    10 530 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 20656966;Аккумуляторный перфоратор Sturm CRH1812;"
    5 568 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 20211412;Бесщеточный перфоратор ЗУБР Профессионал 20В PB-260-42;"
    25 590 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 26757686;Аккумуляторный перфоратор Bosch GBH 187-LI (соло) 0611923020;"
    28 959 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16532646;Аккумуляторный бесщеточный перфоратор P.I.T. PBH20H-22A;"
    7 574 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 15468037;Аккумуляторный перфоратор Makita LXT DHR241Z;"
    12 648 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 23063907;Аккумуляторный перфоратор P.I.T. SOLO 20В, 1.4 Дж, 2-х реж, sds-plus PBH20H-18A;"
    4 746 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 17167069;Аккумуляторный перфоратор Metabo BH 18 LTX BL 16 600324850;"
    29 161 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 20015404;Аккумуляторный перфоратор Einhell PXC TC-HD 18/12 Li-Solo 4513970;"
    7 589 р.

    ";"
    В наличии
    3
    шт.
  ";Нет информации
код: 15500359;Аккумуляторный перфоратор Makita LXT DHR165RME;"
    28 416 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16532630;Аккумуляторный перфоратор P.I.T. PBH20H-16A;"
    3 654 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 16520730;Аккумуляторный перфоратор Bosch GBH 18V-45 C СОЛО 0611913120;"
    92 003 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 15529179;Аккумуляторный перфоратор Makita LXT DHR263Z;"
    18 590 р.

    ";"
    В наличии
    2
    шт.
  ";Нет информации
код: 21641014;Перфоратор Makita XGT HR004GZ;"
    31 679 р.

    ";"
    В наличии
    1
    шт.
  ";Нет информации
код: 16216137;Аккумуляторный бесщеточный перфоратор Bosch GBH 180-LI без ЗУ и АКБ 0611911120;"
    13 963 р.

    ";"
    В наличии
    23
    шт.
  ";Нет информации
код: 19678792;Бесщеточный аккумуляторный перфоратор STATUS MPB 20 UniOne 01410101;"
    14 724 р.

    ";Нет в наличии;Нет информации
код: 23282919;Аккумуляторный перфоратор Milwaukee M18 BLHX-502X 4933478892;"
    75 990 р.

    ";Нет в наличии;Нет информации
код: 15632845;Бесщеточный перфоратор DEWALT DCH133N;"
    18 978 р.

    ";Нет в наличии;Нет информации
код: 15490536;Аккумуляторный перфоратор Makita LXT DHR242Z;"
    17 591 р.

    ";Нет в наличии;Нет информации
код: 27086864;Аккумуляторный перфоратор Metabo KHA 18 LTX + прожектор BSA 12-18, 1X4.0 АЧ, ASC55 T0526;"
    26 133 р.

    ";Нет в наличии;Нет информации
код: 26757710;Аккумуляторный перфоратор Bosch GBH 187-LI 1 Акб 0611923022;"
    40 335 р.

    ";Нет в наличии;Нет информации
код: 15857297;Аккумуляторный перфоратор GRAPHITE Energy+ 58g009;"
    3 662 р.

    ";Нет в наличии;Нет информации
код: 16216138;Аккумуляторный бесщеточный перфоратор Bosch GBH 180-LI с 2 АКБ и ЗУ 0611911121;"
    30 716 р.

    ";Нет в наличии;Нет информации
код: 15996880;Аккумуляторный перфоратор Metabo KHA 18 LTX T03320;"
    17 899 р.

    ";Нет в наличии;Нет информации
код: 23063823;Аккумуляторный перфоратор P.I.T. 20В, 1.4 Дж, 2-х реж, sds-plus, PBH20H-18A/1;"
    7 332 р.

    ";Нет в наличии;Нет информации
код: 21584740;Аккумуляторный бесщеточный перфоратор GreenWorks GD24SDS2K4 3803007UB;"
    18 490 р.

    ";Нет в наличии;Нет информации
код: 15985974;Аккумуляторный перфоратор Einhell PXC HEROCCO 4513900;"
    16 500 р.

    ";Нет в наличии;Нет информации
код: 16289651;Аккумуляторный перфоратор Hanskonner HRH1824BL;"
    13 990 р.

    ";Нет в наличии;Нет информации
код: 26543840;Аккумуляторный перфоратор P.I.T. бесщеточный SOLO (20 В, 1.8 Дж, 3-х реж, бур 22 мм, sds-plus, коробка) PBH20H-22B;"
    9 065 р.

    ";Нет в наличии;Нет информации
код: 15982376;Аккумуляторный бесщёточный перфоратор PATRIOT RH 210UES 110303210;"
    9 990 р.

    ";Нет в наличии;Нет информации
код: 22937709;Аккумуляторный перфоратор FAVOURITE SDS+, бесщеточный двигатель OBS 21 RH;"
    7 383 р.

    ";Нет в наличии;Нет информации
код: 16320553;Аккумуляторный горизонтальный перфоратор Ставр ст18-20паг;"
    6 414 р.

    ";Нет в наличии;Нет информации
код: 26199635;Аккумуляторный перфоратор FELISATTI ПА-26/18Л3 Li-Ion без аккум. и ЗУ 599.5.0.00;"
    7 655 р.

    ";Нет в наличии;Нет информации
код: 16219952;Аккумуляторный перфоратор Интерскол ПА-24/18В 579.2.2.70;"
    14 610 р.

    ";Нет в наличии;Нет информации
код: 16045444;Аккумуляторный перфоратор WORX WX390.1;"
    15 544 р.

    ";Нет в наличии;Нет информации
код: 27208608;Бесщеточный аккумуляторный перфоратор Интерскол ПА-28/18ВМ SDS plus, Li-ion АПИ кейс, 1 аккум., 4.0 Ач, ЗУ 732.4.1.70;"
    19 150 р.

    ";Нет в наличии;Нет информации
код: 27208674;Бесщеточный аккумуляторный перфоратор Интерскол ПА-28/18ВМ SDS plus, Li-ion АПИ кейс, 2 аккум., 2.0 Ач, ЗУ 732.2.2.70;"
    19 590 р.

    ";Нет в наличии;Нет информации
код: 16219901;Аккумуляторный перфоратор Интерскол ПА-24/18В 579.4.1.70;"
    14 629 р.

    ";Нет в наличии;Нет информации
код: 23358741;Аккумуляторный перфоратор Milwaukee M18 BLHX-0 4933478891;"
    43 990 р.

    ";Нет в наличии;Нет информации
код: 16421135;Комбинированный аккумуляторный перфоратор FLEX CHE 2-26 18.0-EC/5.0 Set 18.0 В 478474;"
    66 229 р.

    ";Нет в наличии;Нет информации
код: 15881425;Беспроводной комбинированный перфоратор FLEX CHE 18.0-EC/5.0 Set 461768;"
    75 300 р.

    ";Нет в наличии;Нет информации
